anime_id,anime_title,anime_english_title,anime_japanese_title,anime_synonyms
10717,Towa no Quon 6: Towa no Quon (Towanoquon: Eternal Quon),Towanoquon: Eternal Quon,トワノクオン 第６章 永久の久遠,
9000,Toaru Hikuushi e no Tsuioku (The Princess and the Pilot),The Princess and the Pilot,とある飛空士への追憶,"To Aru Hikuushi e no Tsuioku, Recollection of a Certain Airship Pilot"
540,Tenchi Muyou! Ryououki 2nd Season (Tenchi Muyo! Ryo-Ohki),Tenchi Muyo! Ryo-Ohki,天地無用！魎皇鬼,Tenchi Muyou! Ryououki (1994)
8407,Sora no Otoshimono: Forte (Heaven's Lost Property: Forte),Heaven's Lost Property: Forte,そらのおとしものf（フォルテ）,"Sora no Otoshimono: f, Lost Property of the Sky 2, Misplaced by Heaven 2, Heaven's Lost Property 2"
2499,Slam Dunk: Hoero Basketman-damashii! Hanamichi to Rukawa no Atsuki Natsu,,スラムダンク 吠えろバスケットマン魂!!花道と流川の熱き夏,"Slam Dunk Movie 4, Roar Basketman's Soul: Hanamichi and Rukawa's Burning Summer, Slam Dunk: Hoero Basketman Tamashii!! Hanamichi to Rukawa no Nekki Natsu"
3515,Saint Seiya: Meiou Hades Elysion-hen,Saint Seiya: The Hades Chapter - Elysion,聖闘士星矢 冥王ハーデス エリシオン編,Saint Seiya: The Hades Elysion Chapter
30296,Rakudai Kishi no Cavalry (Chivalry of a Failed Knight),Chivalry of a Failed Knight,落第騎士の英雄譚《キャバルリィ》,"A Chivalry of the Failed Knight, Rakudai Kishi no Eiyuutan, A Tale of Worst One"
208,R.O.D OVA (R.O.D - Read or Die),R.O.D - Read or Die,R.O.D リード・オア・ダイ,"R.O.D - Read or Die, ROD, Read or Die, ROD OVA, Read or Die OVA, R.O.D."
14227,Tonari no Kaibutsu-kun (My Little Monster),My Little Monster,となりの怪物くん,"Tonari no Kaibutsukun, The Monster Next Door, My Neighbor Monster-kun"
28979,To LOVE-Ru Darkness 2nd (To LOVE Ru Darkness 2),To LOVE Ru Darkness 2,To LOVEる -とらぶる- ダークネス2nd,To LOVE-Ru Trouble Darkness 2nd
13663,To LOVE-Ru Darkness (To LOVE Ru Darkness),To LOVE Ru Darkness,To LOVEる -とらぶる- ダークネス,"To LOVE-Ru Trouble Darkness, To-Love-Ru Darkness, ToLoveRu Darkness"
10278,The iDOLM@STER,THE IDOLM@STER,アイドルマスター,The Idolmaster
1279,Taiyou no Ko Esteban (The Mysterious Cities of Gold),The Mysterious Cities of Gold,太陽の子エステバン,"Esteban, Child of the Sun"
34480,Shokugeki no Souma: Ni no Sara OVA,,食戟のソーマ 弍ノ皿,"Shokugeki no Souma: Ni no Sara - Jump Festa 2016 Special, Shokugeki no Soma: Ni no Sara OVA, Food Wars! The Second Plate OVA, Shokugeki no Souma 2nd Season OVA"
35240,Princess Principal,Princess Principal,プリンセス・プリンシパル,
35067,Osomatsu-san 2nd Season (Mr. Osomatsu 2),Mr. Osomatsu 2,おそ松さん 第2期,
32729,Orange,Orange,orange（オレンジ）,
462,One Piece Movie 4: Dead End no Bouken (One Piece: Dead End),One Piece: Dead End,ワンピース デッドエンドの冒険,
18849,Natsume Yuujinchou: Nyanko-sensei to Hajimete no Otsukai,,夏目友人帳新作アニメDVD,"Natsume Yuujinchou LaLa Special, Natsume Yujincho LaLa Special, Natsume's Book of Friends LaLa Special"
30913,Mekakucity Days,Mekakucity Days,メカクシティデイズ,"Heat Haze Project, Kagerou Project, Kagerou Daze, Heat Haze Daze, Headphone Actor, Souzou Forest, Kuusou Forest, Konoha no Sekai Jijou, Toumei Answer, Konoha's State of World, Transparent Answer"
2985,Majin Tantei Nougami Neuro (Neuro: Supernatural Detective),Neuro: Supernatural Detective,魔人探偵 脳噛ネウロ,"Private Evil-Eye Nougami Neuro, Demon Detective Nougami Neuro"
